"address","balance"
"0x18addb4b0ea01ad018417d7de4e37b9b6d35c734",200000000000000000000
"0xa3b1af9c33c6fdf7852db56263a44b93fb6f687b",800000000000000000000
"0xc2116c5a7533d8619c574ce70312f7c2306c00fd",202000000000000000000
"0x8f4e9d43583b7d4b8cff5a027220e36401c12b8e",200000000000000000000
"0x29809ede7cbe49c6fe1c1dd40513a7bda438473a",276000000000000000000
"0x4931b973792aa349108884a26ad0502690f10cdc",80000000000000000000
"0x620703fcd6a3ef6773511ef0bc45a558e5647a8c",22100000000000000000
"0x2db04d075c2a96e65d8beef44879ed8d07167384",58000000000000000000
"0xcaee01dd455e90ac98d84ae847d22261315db192",300000000000000000000
"0xdcbbbd8e22d9945f062909923d4524b9630a32ca",100000000000000000000
"0xdde972259b65433c769774e504b312de359c031a",40000000000000000000
"0x8d3748096d58695246d8735bba837098b8d3fdd7",1800000000000000000
"0x932c23938b9bbfaad91ddaf938c622d315eeef34",9000000000000000000
"0x739066ed2d1718fd100cec4d9f347382ec6440dc",200000000000000000000
"0xb3fa0fa3682bbafaeb95ef288e841609baa5c68b",200000000000000000000
"0x59e5fe8a9637702c6d597c5f1c4ebe3fba747371",202000000000000000000
"0x66eb0de38cdbbd157d6940b9542a6ca3c98e9080",200000000000000000000
"0xc9d4c2fc8c1401eeaa18c048704934f616ed8002",500000000000000000000
"0xca14e2076784f7486cf9c1cb4afe194af96bf3fe",200000000000000000000
"0x86834a65e12fc6fa4b564b8d0f6b98a4caf88f50",400000000000000000000
"0xe2190203932edc3cf358cb497d165a57a0711f77",202000000000000000000
"0xf428237037e5c0acf0751f9b42b83d7b4903d305",204000000000000000000
"0x89a94b48b21d3b5f959305643d3c71dc88cc7fbc",200000000000000000000
"0xe207214e3bc14154f22a59144ccdff6099ca6567",200000000000000000000
"0x1eccd61c9fa53a8d2e823a26cd72a7efd7d0e92e",200000000000000000000
"0x3833f8dbdbd6bdcb6a883ff209b869148965b364",300000000000000000000
"0x9b422e571eb2cb9837efdc4f9087194d65fb070a",200000000000000000000
"0x120c322c0b1477a5c2eeb6f9f06d2c98797f485f",200000000000000000000
"0xbe6b82da1815de15c1798f2ea58031d793275ff1",0
"0x0c38aa3d82aa58ddd9ff8a0ced05f8995950ae4d",40000000000000000000
"0x00e96c34d0d80fc23d730ac0702c86ac746f5534",50000000000000000000
"0x34b2cf5894ee3e0537e8f45cae265e68d4df4d8c",40000000000000000000
"0x69e753860e3a6bb1fead78ab5b5e573e909108c8",200000000000000000000
"0xaad68b51814179146d56e824e9bba8f2b5be4f1e",200000000000000000000
"0x22c6a17c9d68d0d8cb057435ab087943a62acbbd",400000000000000000000
"0x8c3fdeed9f2f79d294300b4b4d182a814107cf6d",40000000000000000000
"0x196d791102f53abad22b8d26f5896c4a48146432",230000000000000000000
"0x670be3b80f91b0749146a527e7ffbe1397405e9b",200000000000000000000
"0x33d87b186a47beb965fdfa207da1ae00d2d7b812",200000000000000000000
"0xa106379acb22df279f1ac3c0299742531b3ba6ee",280000000000000000000
"0xb2dd65f58594ce19fcfa7daac204587a3287899b",1.1663539914e+21
"0x525a7eb5dbd784feee9a4667f560406f1ea5367a",4e+21
"0x26eeb2711ac35bf1c88b6c0bff75a4dd9e02d636",202000000000000000000
"0x6ed8cd17ee5453e17eb731a6b2004af53ea1f26a",200000000000000000000
"0xf8bad169cb40a0471d2f30b5772bf2ab7b7c0ee8",1.74e+21
"0xbd131d488746eb914fbb4174b783a1b3d77f25e2",200000000000000000000
"0x2764281f229fd932b93c5bc9bf3ed2f7ebdd8d9c",558000000000000000000
"0x2707bcc067112cd420159b667c47f1dbfc858df2",200000000000000000000
"0xb93147f598f8fc20f9cd6276e56b49dfb608eb16",1.13149755316e+21
"0x22b0ac0be4633f57fa4457268ad365c11227e172",200000000000000000000
"0xa87d8906eabb8dfb38cc2370a36afaf013d51857",240000000000000000000
"0xb904c6901359606d7954bc0dcaaabad3ac33d6c4",210000000000000000000
"0x96921dd0a92ed047954d977e4363ec15a0b807d8",210000000000000000000
"0x1f4b0a926e0a1b492bb17bfdb8647d658701b08c",210000000000000000000
"0x597aa8e340582363f74acc894b51447a2b7d040c",660000000000000000000
